,name.fi,location.lat,location.lon,info_url,opening_hours_url,point
426,Sushibar + Wine Kallio,60.18597412109375,24.96152687072754,https://sushibarwine.com/,https://hauki.api.hel.fi/v1/resource/tprek:3828/opening_hours/?start_date=0w&end_date=0w,"[60.18597412109375, 24.96152687072754]"
427,Sushibar + Wine Korjaamo,60.18404769897461,24.92060089111328,https://sushibarwine.com/,https://hauki.api.hel.fi/v1/resource/tprek:1995/opening_hours/?start_date=0w&end_date=0w,"[60.18404769897461, 24.92060089111328]"
428,Sushibar + Wine Uudenmaankatu,60.164527893066406,24.940500259399414,https://sushibarwine.com/,https://hauki.api.hel.fi/v1/resource/tprek:2844/opening_hours/?start_date=0w&end_date=0w,"[60.164527893066406, 24.940500259399414]"
429,"Taqueria ""El Rey"" Vuorimiehenkatu",60.159095764160156,24.9429988861084,https://www.elrey.fi/,https://hauki.api.hel.fi/v1/resource/tprek:2739/opening_hours/?start_date=0w&end_date=0w,"[60.159095764160156, 24.9429988861084]"
430,Tandoori Villa Kalasatama,60.185386657714844,24.983644485473633,https://www.tandoorivilla.fi/,https://hauki.api.hel.fi/v1/resource/tprek:4284/opening_hours/?start_date=0w&end_date=0w,"[60.185386657714844, 24.983644485473633]"
431,Tandoori Villa Metsälä,60.21913528442383,24.937692642211914,https://www.tandoorivilla.fi/,https://hauki.api.hel.fi/v1/resource/tprek:3861/opening_hours/?start_date=0w&end_date=0w,"[60.21913528442383, 24.937692642211914]"
432,Tanner,60.18321990966797,24.958887100219727,https://ravintolatanner.fi/,https://hauki.api.hel.fi/v1/resource/tprek:3380/opening_hours/?start_date=0w&end_date=0w,"[60.18321990966797, 24.958887100219727]"
433,"Taquería ""El Rey"" Kallio",60.18309783935547,24.948007583618164,https://www.elrey.fi/,https://hauki.api.hel.fi/v1/resource/tprek:4137/opening_hours/?start_date=0w&end_date=0w,"[60.18309783935547, 24.948007583618164]"
434,Tapahtumakeskus Koskenranta,60.216102600097656,24.985008239746094,https://koskenranta.net/,https://hauki.api.hel.fi/v1/resource/tprek:1366/opening_hours/?start_date=0w&end_date=0w,"[60.216102600097656, 24.985008239746094]"
435,Tapas BarCelona,60.16819763183594,24.944988250732422,https://www.raflaamo.fi/fi/helsinki/tapas-barcelona,https://hauki.api.hel.fi/v1/resource/tprek:2014/opening_hours/?start_date=0w&end_date=0w,"[60.16819763183594, 24.944988250732422]"
436,"Taqueria ""El Rey"" Annankatu",60.16636657714844,24.93740463256836,https://www.elrey.fi/,https://hauki.api.hel.fi/v1/resource/tprek:4136/opening_hours/?start_date=0w&end_date=0w,"[60.16636657714844, 24.93740463256836]"
437,Tenho Restobar,60.18733596801758,24.954769134521484,http://www.ravintolatenho.fi/,https://hauki.api.hel.fi/v1/resource/tprek:2802/opening_hours/?start_date=0w&end_date=0w,"[60.18733596801758, 24.954769134521484]"
438,Teatteriravintola Nyyrikki,60.21427536010742,24.9439640045166,http://www.nyyrikki.fi,https://hauki.api.hel.fi/v1/resource/tprek:621/opening_hours/?start_date=0w&end_date=0w,"[60.21427536010742, 24.9439640045166]"
439,The Boom Room,60.16179275512695,24.93756103515625,https://www.facebook.com/theboomroomhelsinki/,https://hauki.api.hel.fi/v1/resource/tprek:3171/opening_hours/?start_date=0w&end_date=0w,"[60.16179275512695, 24.93756103515625]"
440,The Cock,60.16537857055664,24.949939727783203,https://thecock.fi/,https://hauki.api.hel.fi/v1/resource/tprek:2588/opening_hours/?start_date=0w&end_date=0w,"[60.16537857055664, 24.949939727783203]"
441,The Dockyard,60.156429290771484,24.930416107177734,http://www.thedockyard.fi/,https://hauki.api.hel.fi/v1/resource/tprek:3402/opening_hours/?start_date=0w&end_date=0w,"[60.156429290771484, 24.930416107177734]"
442,The One Thai Kitchen,60.288063049316406,25.032686233520508,http://theonethaikitchen.fi/,https://hauki.api.hel.fi/v1/resource/tprek:4148/opening_hours/?start_date=0w&end_date=0w,"[60.288063049316406, 25.032686233520508]"
443,The Old Skiffer,60.16059112548828,24.941713333129883,https://www.skiffer.fi/ravintolat/the-old-skiffer.html,https://hauki.api.hel.fi/v1/resource/tprek:3111/opening_hours/?start_date=0w&end_date=0w,"[60.16059112548828, 24.941713333129883]"
444,The Saigonese,60.16714096069336,24.926624298095703,https://the-saigonese.com/,https://hauki.api.hel.fi/v1/resource/tprek:3981/opening_hours/?start_date=0w&end_date=0w,"[60.16714096069336, 24.926624298095703]"
445,The TRAY,60.168678283691406,24.947275161743164,https://www.glohotels.fi/hotellit/glo-kluuvi/ravintola,https://hauki.api.hel.fi/v1/resource/tprek:3161/opening_hours/?start_date=0w&end_date=0w,"[60.168678283691406, 24.947275161743164]"
446,Tikke Kebab Grill,60.236900329589844,25.084152221679688,https://www.facebook.com/tikkekebabgrill,https://hauki.api.hel.fi/v1/resource/tprek:4123/opening_hours/?start_date=0w&end_date=0w,"[60.236900329589844, 25.084152221679688]"
447,Tokumaru Tripla,60.19871520996094,24.93072509765625,https://www.tokumaru.fi/,https://hauki.api.hel.fi/v1/resource/tprek:3922/opening_hours/?start_date=0w&end_date=0w,"[60.19871520996094, 24.93072509765625]"
448,Tokyo Street Helsinki,60.16304397583008,24.92929458618164,https://www.tokyostreetrestaurants.com/,https://hauki.api.hel.fi/v1/resource/tprek:3908/opening_hours/?start_date=0w&end_date=0w,"[60.16304397583008, 24.92929458618164]"
449,ToQyo Food Street -ravintola,60.168373107910156,24.942655563354492,https://www.toqyo.fi/fi/,https://hauki.api.hel.fi/v1/resource/tprek:3947/opening_hours/?start_date=0w&end_date=0w,"[60.168373107910156, 24.942655563354492]"
450,Toscanini,60.1662483215332,24.942899703979492,https://www.toscanini.fi/,https://hauki.api.hel.fi/v1/resource/tprek:1469/opening_hours/?start_date=0w&end_date=0w,"[60.1662483215332, 24.942899703979492]"
451,Torikorttelit,60.168540954589844,24.952117919921875,https://www.torikorttelit.fi/,https://hauki.api.hel.fi/v1/resource/tprek:2227/opening_hours/?start_date=0w&end_date=0w,"[60.168540954589844, 24.952117919921875]"
452,Trattoria il Faro,60.187957763671875,25.030359268188477,http://www.ilfaro.fi/,https://hauki.api.hel.fi/v1/resource/tprek:4212/opening_hours/?start_date=0w&end_date=0w,"[60.187957763671875, 25.030359268188477]"
453,Trattoria Rivoletto,60.16502380371094,24.932065963745117,https://rivoletto.fi,https://hauki.api.hel.fi/v1/resource/tprek:3015/opening_hours/?start_date=0w&end_date=0w,"[60.16502380371094, 24.932065963745117]"
454,Trattoria Sogno,60.18161392211914,24.926513671875,https://www.trattoriasogno.fi,https://hauki.api.hel.fi/v1/resource/tprek:3854/opening_hours/?start_date=0w&end_date=0w,"[60.18161392211914, 24.926513671875]"
455,Tukkutorin kala,60.18961715698242,24.971698760986328,http://www.tukkutorinkala.fi/,https://hauki.api.hel.fi/v1/resource/tprek:2859/opening_hours/?start_date=0w&end_date=0w,"[60.18961715698242, 24.971698760986328]"
456,Turkkilainen ravintola Efesos,60.357940673828125,25.07710838317871,http://turkkilainenravintola.fi/,https://hauki.api.hel.fi/v1/resource/tprek:2855/opening_hours/?start_date=0w&end_date=0w,"[60.357940673828125, 25.07710838317871]"
457,Twisted Street Kitchen,60.170650482177734,24.92790985107422,https://www.twistedhelsinki.fi/,https://hauki.api.hel.fi/v1/resource/tprek:3393/opening_hours/?start_date=0w&end_date=0w,"[60.170650482177734, 24.92790985107422]"
458,Töölön Sävel,60.17810821533203,24.922386169433594,https://toolonsavel.fi/,https://hauki.api.hel.fi/v1/resource/tprek:3343/opening_hours/?start_date=0w&end_date=0w,"[60.17810821533203, 24.922386169433594]"
459,Töölönranta,60.18257522583008,24.931325912475586,https://www.toolonranta.fi/,https://hauki.api.hel.fi/v1/resource/tprek:460/opening_hours/?start_date=0w&end_date=0w,"[60.18257522583008, 24.931325912475586]"
460,Umeshu,60.17744827270508,24.924467086791992,https://www.umeshu.fi/,https://hauki.api.hel.fi/v1/resource/tprek:2689/opening_hours/?start_date=0w&end_date=0w,"[60.17744827270508, 24.924467086791992]"
461,UniCafe Kaivopiha,60.169189453125,24.940799713134766,https://unicafe.fi/,https://hauki.api.hel.fi/v1/resource/tprek:596/opening_hours/?start_date=0w&end_date=0w,"[60.169189453125, 24.940799713134766]"
462,Uzbekistan,60.238319396972656,25.08324432373047,https://www.ravintolauzbekistan.fi/,https://hauki.api.hel.fi/v1/resource/tprek:4125/opening_hours/?start_date=0w&end_date=0w,"[60.238319396972656, 25.08324432373047]"
463,Vapiano,60.17094039916992,24.9455623626709,https://fi.vapiano.com/fi/etusivu/,https://hauki.api.hel.fi/v1/resource/tprek:2025/opening_hours/?start_date=0w&end_date=0w,"[60.17094039916992, 24.9455623626709]"
464,Vegoshi,60.16972732543945,24.947980880737305,https://www.vegoshi.fi/,https://hauki.api.hel.fi/v1/resource/tprek:4025/opening_hours/?start_date=0w&end_date=0w,"[60.16972732543945, 24.947980880737305]"
465,Vibami,60.16673278808594,24.934865951538086,https://www.vibami.fi/,https://hauki.api.hel.fi/v1/resource/tprek:3511/opening_hours/?start_date=0w&end_date=0w,"[60.16673278808594, 24.934865951538086]"
466,Vöner Lippakioski,60.174278259277344,24.930713653564453,https://www.facebook.com/vonerlippakioski,https://hauki.api.hel.fi/v1/resource/tprek:3724/opening_hours/?start_date=0w&end_date=0w,"[60.174278259277344, 24.930713653564453]"
467,Via Tribunali Kallio,60.187965393066406,24.963743209838867,https://viatribunali.fi/,https://hauki.api.hel.fi/v1/resource/tprek:4005/opening_hours/?start_date=0w&end_date=0w,"[60.187965393066406, 24.963743209838867]"
468,Via Tribunali,60.16846466064453,24.952037811279297,https://viatribunali.fi/,https://hauki.api.hel.fi/v1/resource/tprek:2801/opening_hours/?start_date=0w&end_date=0w,"[60.16846466064453, 24.952037811279297]"
469,Viikin kartano,60.22649383544922,25.011133193969727,https://www.sodexo.fi/ravintolat/helsinki/viikin-kartano,https://hauki.api.hel.fi/v1/resource/tprek:392/opening_hours/?start_date=0w&end_date=0w,"[60.22649383544922, 25.011133193969727]"
470,Viikinkiravintola Harald,60.168941497802734,24.941625595092773,https://www.ravintolaharald.fi/,https://hauki.api.hel.fi/v1/resource/tprek:2201/opening_hours/?start_date=0w&end_date=0w,"[60.168941497802734, 24.941625595092773]"
471,Villetta - Ristorante e Pizzeria,60.182071685791016,24.924114227294922,http://www.villetta.fi/,https://hauki.api.hel.fi/v1/resource/tprek:2975/opening_hours/?start_date=0w&end_date=0w,"[60.182071685791016, 24.924114227294922]"
472,Vinkkeli,60.16409683227539,24.946292877197266,https://www.ravintolavinkkeli.fi/,https://hauki.api.hel.fi/v1/resource/tprek:2605/opening_hours/?start_date=0w&end_date=0w,"[60.16409683227539, 24.946292877197266]"
473,Väinö Kallio,60.18321990966797,24.958887100219727,https://www.vainokallio.fi/,https://hauki.api.hel.fi/v1/resource/tprek:3332/opening_hours/?start_date=0w&end_date=0w,"[60.18321990966797, 24.958887100219727]"
474,W30,60.16851806640625,24.950830459594727,https://www.restaurantw30.fi/,https://hauki.api.hel.fi/v1/resource/tprek:4079/opening_hours/?start_date=0w&end_date=0w,"[60.16851806640625, 24.950830459594727]"
